Name of Tools/ Softwares/DBs/Algorithms	Category	Subcategory	Deep learning/ML	Abstract	Manuscript Title	Link to Publication	Journal Name	Full APA Style Reference	Full Author List	Senior Author	Country of Affiliation of the Senior Author of the Manuscript	Link to the Tool	Programming Language used to prepare the tool, primary software tool	Year of publication	Institutional Affiliations
LC-MS2Struct	Annotation	Molecular library retrieval	Yes	Structural annotation of small molecules in biological samples remains a key bottleneck in untargeted metabolomics, despite rapid progress in predictive methods and tools during the past decade. Liquid chromatography–tandem mass spectrometry, one of the most widely used analysis platforms, can detect thousands of molecules in a sample, the vast majority of which remain unidentified even with best-of-class methods. Here we present LC-MS2Struct, a machine learning framework for structural annotation of small-molecule data arising from liquid chromatography–tandem mass spectrometry (LC-MS2) measurements. LC-MS2Struct jointly predicts the annotations for a set of mass spectrometry features in a sample, using a novel structured prediction model trained to optimally combine the output of state-of-the-art MS2 scorers and observed retention orders. We evaluate our method on a dataset covering all publicly available reversed-phase LC-MS2 data in the MassBank reference database, including 4,327 molecules measured using 18 different LC conditions from 16 contributors, greatly expanding the chemical analytical space covered in previous multi-MS2 scorer evaluations. LC-MS2Struct obtains significantly higher annotation accuracy than earlier methods and improves the annotation accuracy of state-of-the-art MS2 scorers by up to 106%. The use of stereochemistry-aware molecular fingerprints improves prediction performance, which highlights limitations in existing approaches and has strong implications for future computational LC-MS2 developments.	Joint structural annotation of small molecules using liquid chromatography retention order and tandem mass spectrometry data	https://www.nature.com/articles/s42256-022-00577-2	Nature Machine Intelligence	Bach, E., Schymanski, E. L., & Rousu, J. (2022). Joint structural annotation of small molecules using liquid chromatography retention order and tandem mass spectrometry data. Nature Machine Intelligence, 4(12), 1224-1237.	E. Bach, E. L. Schymanski, J. Rousu	J Rousu	Finland	https://github.com/aalto-ics-kepaco/msms_rt_ssvm	Python	2022	Aalto University
MSI-Explorer	Imaging MS			Mass spectrometry imaging (MSI) enables label-free spatial localization of biomolecules from single cells to whole tissues, making it a key technology in the growing fields of spatial omics. However, a lack of comprehensive open-source tools for MSI data analysis, visualization, and quantification has hindered its broader adoption. Napari, a widely used interactive Python-based image analysis platform, currently lacks native support for MSI data, limiting its applications in MSI research. To address this gap, we present MSI-Explorer, the first napari plugin that provides an interactive and user-friendly interface for MSI data processing, spectral analysis, molecular annotation, and quantification. By integrating napari’s advanced visualization capabilities with MSI-specific functionalities, MSI-Explorer provides image curation, multimodal, and efficient analysis of MSI data sets. As the first dedicated MSI plugin for napari, MSI-Explorer bridges the gap between spatial metabolomics and the broader bioimaging research community, promoting open, accessible, and integrated MSI data analysis.	MSI-Explorer: Napari-Powered Tool for Mass Spectrometry Imaging Data Analysis	https://pubs.acs.org/doi/10.1021/acs.analchem.5c01513	Analytical Chemistry	Saw, Nay Min Min Thaw, Kowitz, Lennart, Lampen, Peter, Kasarla, Siva Swapna, Fecke, Antonia, Chen, Jianxu, & Phapale, Prasad (2025). MSI-Explorer: Napari-Powered Tool for Mass Spectrometry Imaging Data Analysis. Analytical Chemistry, 97(23), 11980-11985. https://doi.org/10.1021/acs.analchem.5c01513	N. M. M. T. Saw, L. Kowitz, P. Lampen, S. S. Kasarla, A. Fecke, J. Chen, P. Phapale	P Phapale	Germany	https://github.com/MMV-Lab/MSI-Explorer	Python	2025	Aarhus University
Protomix	NMR			"Background
NMR-based metabolomics is a field driven by technological advancements, necessitating the use of advanced preprocessing tools. Despite this need, there is a remarkable scarcity of comprehensive and user-friendly preprocessing tools. To bridge this gap, we have developed Protomix – a Python package designed for metabolomics research. Protomix offers a set of automated, efficient, and user-friendly signal processing steps, tailored to streamline, and enhance the preprocessing phase in metabolomics studies.
Results

This package presents a comprehensive preprocessing pipeline compatible with various data analysis tools. It encompasses a suite of functionalities for data extraction, preprocessing, and interactive visualization. Additionally, it includes a tutorial in the form of a Python Jupyter notebook, specifically designed for the analysis of 1D 1H-NMR metabolomics data related to prostate cancer and benign prostatic hyperplasia.
Conclusions

Protomix simplifies the preprocessing phase and incorporates interactive data visualization, making it accessible to researchers of varying programming skills. Ongoing development and optimization will continue to solidify its contribution to the metabolomics field."	Protomix: A Python Package for 1H-NMR Data Preprocessing	https://doi.org/10.1093/bioadv/vbae192	Bioinformatics Advances	Zniber, M., & Huynh, T. P. (2024). Protomix: A Python Package for 1H-NMR Data Preprocessing. Bioinformatics Advances, 5(1), vbae192. https://doi.org/10.1093/bioadv/vbae192	Zniber, M., & Huynh, T. P.	T P Huynh	Finland	https://github.com/mzniber/Protomix	Python	2024	Åbo Akademi University
GMDP Database	Organism specific			Metabolomic profiling is instrumental in understanding the systemic and cellular impact of inborn errors of metabolism (IEMs), monogenic disorders caused by pathogenic genomic variants in genes involved in metabolism. This study encompasses untargeted metabolomics analysis of plasma from 474 individuals and fibroblasts from 67 subjects, incorporating healthy controls, patients with 65 different monogenic diseases, and numerous undiagnosed cases. We introduce a web application designed for the in-depth exploration of this extensive metabolomics database. The application offers a user-friendly interface for data review, download, and detailed analysis of metabolic deviations linked to IEMs at the level of individual patients or groups of patients with the same diagnosis. It also provides interactive tools for investigating metabolic relationships and offers comparative analyses of plasma and fibroblast profiles. This tool emphasizes the metabolic interplay within and across biological matrices, enriching our understanding of metabolic regulation in health and disease. As a resource, the application provides broad utility in research, offering novel insights into metabolic pathways and their alterations in various disorders.	An interactive web application for exploring human plasma and fibroblast metabolomics data from patients with inborn errors of metabolism	https://www.biorxiv.org/content/10.1101/2023.12.11.571124v1	bioRxiv	Cai, L., Vu, H. S., Gu, W., Chen, H., Franklin, J., Haidar, L. A., ... & DeBerardinis, R. (2023). An interactive web application for exploring human plasma and fibroblast metabolomics data from patients with inborn errors of metabolism. bioRxiv, 2023-12.	L. Cai, H. S. Vu, W. Gu, H. Chen, J. Franklin, L. A. Haidar, Z. Wu, C. Pan, F. Cai, P. Nguyen, B. Ko, C. Yang, L. G. Zacharias, J. Sudderth, S. Montgomery, C. Uhles, H. Fisher, J. Hudnall, C. Hornbuckle, C. Quinn, D. Michel, L. Umaña, A. Scheuerle, M. C. McNutt, G. K. Gotway, B. Afroze, M. Ni, R. DeBerardinis	R DeBerardinis	USA	https://lccl.shinyapps.io/GMDP/	Webserver	2023	Aga Khan University
Neurolipid Atlas	Lipidomics			Lipid alterations in the brain have been implicated in many neurodegenerative diseases. To facilitate comparative lipidomic research across brain diseases, we establish a data common named the Neurolipid Atlas that we prepopulated with isogenic induced pluripotent stem cell (iPS cell)-derived lipidomics data for different brain diseases. Additionally, the resource contains lipidomics data of human and mouse brain tissue. Leveraging multiple datasets, we demonstrate that iPS cell-derived neurons, microglia and astrocytes exhibit distinct lipid profiles that recapitulate in vivo lipotypes. Notably, the Alzheimer disease (AD) risk gene ApoE4 drives cholesterol ester (CE) accumulation specifically in human astrocytes and we also observe CE accumulation in whole-brain lipidomics from persons with AD. Multiomics interrogation of iPS cell-derived astrocytes revealed that altered cholesterol metabolism has a major role in astrocyte immune pathways such as the immunoproteasome and major histocompatibility complex class I antigen presentation. Our data commons, available online (https://neurolipidatlas.com/), allows for data deposition by the community and provides a user-friendly tool and knowledge base for a better understanding of lipid dyshomeostasis in neurodegenerative diseases.	The Neurolipid Atlas: a lipidomics resource for neurodegenerative diseases	https://www.nature.com/articles/s42255-025-01365-z	Nature Metabolism	Feringa, F. M., Koppes_den Hertog, S. J., Wang, L. Y., Derks, R. J. E., Kruijff, I., Erlebach, L., Heijneman, J., Miramontes, R., Pömpner, N., Blomberg, N., Olivier_Jimenez, D., Johansen, L. E., Cammack, A. J., Giblin, A., Toomey, C. E., Rose, I. V. L., Yuan, H., Ward, M. E., Isaacs, A. M., Kampmann, M., ... van der Kant, R. (2025). The Neurolipid Atlas: a lipidomics resource for neurodegenerative diseases. Nature Metabolism, 7, 2142–2164. https://doi.org/10.1038/s42255-025-01365-z	F. M. Feringa, S. J. Koppes_den Hertog, L. Y. Wang, R. J. E. Derks, I. Kruijff, L. Erlebach, J. Heijneman, R. Miramontes, N. Pömpner, N. Blomberg, D. Olivier_Jimenez, L. E. Johansen, A. J. Cammack, A. Giblin, C. E. Toomey, I. V. L. Rose, H. Yuan, M. E. Ward, A. M. Isaacs, M. Kampmann, D. Kronenberg_Versteeg, T. Lashley, L. M. Thompson, A. Ori, Y. Mohammed, M. Giera, R. van der Kant	R van der Kant	The Netherlands	https://neurolipidatlas.com/	Webserver	2025	Amsterdam Neuroscience
Pyrfume	Database			Advances in theoretical understanding are frequently unlocked by access to large, diverse experimental datasets. Our understanding of olfactory neuroscience and psychophysics remain years behind the other senses, in part because rich datasets linking olfactory stimuli with their corresponding percepts, behaviors, and neural pathways remain scarce. Here we present a concerted effort to unlock and unify dozens of stimulus-linked olfactory datasets across species and modalities under a unified framework called Pyrfume. We present examples of how researchers might use Pyrfume to conduct novel analyses uncovering new principles, introduce trainees to the field, or construct benchmarks for machine olfaction.	Pyrfume: A Window to the World's Olfactory Data	https://www.nature.com/articles/s41597-024-04051-z	Scientific Data	Hamel, E. A., Castro, J. B., Gould, T. J., et al. (2024). Pyrfume: A window to the world's olfactory data. Scientific Data, 11, 1220.	E. A. Hamel, J. B. Castro, T. J. Gould, et al.	R C Gerkin	USA	https://pyrfume.org/	Python	2024	Arizona State University
MMST	Annotation	Others	Yes	Validating chemical synthesis success requires confirming the desired product using various analytical techniques. While spectroscopic data collection is increasingly automated, interpreting results remains a major bottleneck, often requiring expert input. With advances in laboratory automation and high-throughput synthesis, this challenge is expected to intensify. We introduce the MultiModalSpectralTransformer (MMST), a machine learning method that predicts chemical structures directly from diverse spectral data (NMR, IR, and MS). Trained on 4 million simulated compounds, MMST achieves 72% and 80% as top-1 and top-3 accuracy, respectively. To address out-of-distribution challenges, we implemented an active learning improvement cycle that generates molecules in similar chemical spaces, enabling the model to adapt to chemical structures beyond its original training data. We demonstrate MMST's capabilities through comprehensive benchmarking across diverse molecular weight ranges and chemical spaces. Notably, despite training solely on simulated data, MMST demonstrates good performance with experimental spectra. This research represents a significant advancement in automated structure elucidation, offering a powerful and adaptable tool that bridges the gap between simulated and real-world data.	Advancing Structure Elucidation with a Flexible Multi_Spectral AI Model	https://onlinelibrary.wiley.com/doi/10.1002/ange.202517611	Angewandte Chemie International Edition	Priessner, M., Lewis, R. J., Lemurell, I., Johansson, M. J., Goodman, J., Janet, J. P., & Tomberg, A. (2026). Advancing Structure Elucidation with a Flexible Multi_Spectral AI Model. Angewandte Chemie, 138(2), e17611.	M. Priessner, R. J. Lewis, I. Lemurell, M. J. Johansson, J. Goodman, J. P. Janet, A. Tomberg	A Tomberg	Sweden	https://github.com/mpriessner/MultiModalSpectralTransformer	Python	2026	AstraZeneca (Sweden)
GlyKAn AZ	Specialized			"
Background
Glycosylation is an important modification to proteins that plays a significant role in biological processes. Glycan structures are characterized by liquid chromatography (LC) combined with mass spectrometry (MS), but data interpretation of LC/MS and MS/MS data can be time-consuming and arduous when analyzed manually. Most of glycan analysis requires dedicated glycobioinformatics tools to process MS data, identify glycan structure, and display the results. However, software tools currently available are either too costly or heavily focused on academic applications, limiting their use within the biopharmaceutical industry for implementing the standardized LC/MS glycan analysis in high-throughput manner. Additionally, few tools provide the capability to generate report-ready annotated MS/MS glycan spectra.

Results
Here, we present a MATLAB-based app, GlyKAn AZ, which can automate data processing, glycan identification, and customizable result displays in a streamlined workflow. MS1 and MS2 mass search algorithms along with glycan databases were developed to confirm the fluorescent labeled N-linked glycan species based on accurate mass. A user-friendly graphical user interface (GUI) streamlines the data analysis process, making it easy to implement the software tool in biopharmaceutical analytical laboratories. The databases provided with the app can be expanded through the Fragment Generator functionality which automatically identifies fragmentation patterns for new glycans. The GlyKAn AZ app can automatically annotate the MS/MS spectra, yet this data display feature remains flexible and customizable by users, saving analysts’ time in generating individual report-ready spectra figures. This app accepts both OrbiTrap and matrix-assisted laser desorption/ionization–time of flight (MALDI–TOF) MS data and was successfully validated by identifying all glycan species that were previously identified manually.

Conclusions
The GlyKAn AZ app was developed to expedite glycan analysis while maintaining a high level of accuracy in positive identifications. The app’s customizable user inputs, polished figures and tables, and unique calculated outputs set it apart from similar software and greatly improve the current manual analysis workflow. Overall, this app serves as a tool for streamlining glycan identification for both academic and industrial needs."	A MATLAB-based app to improve LC–MS/MS data analysis for N-linked glycan peak identification	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-023-05346-5	BMC Bioinformatics	Dhingra, A., Schaeffer, Z., Majewska Nepomuceno, N.I., Au, J., Ahn, J. (2023). A MATLAB-based app to improve LC–MS/MS data analysis for N-linked glycan peak identification. BMC Bioinformatics. https://doi.org/10.1186/s12859-023-05346-5	A. Dhingra, Z. Schaeffer, N. I. Majewska Nepomuceno, J. Au, J. Ahn	J Ahn	USA	https://github.com/ZaylaSchaeffer/GlyKAn-AZ-application	MATLAB	2023	AstraZeneca (United States)
Lipid4DAnalyzer	Lipidomics			Lipids play vital roles in many physiological and pathological processes in living organisms. Due to the high structural diversity and the numerous isomers and isobars of lipids, high-coverage and high-accuracy lipidomic analysis of complex biological samples remain the bottleneck to investigate lipid metabolism. Here, we developed the trapped ion mobility spectrometry-mass spectrometry (TIMS-MS) based four-dimensional untargeted lipidomics to support accurate lipid identification and quantification in biological samples. We first demonstrated that the TIMS based multi-dimensional separation improved the differentiations of isomeric and isobaric lipids, and increased the purity of precursor ion isolation and the quality of MS/MS spectra. Hyphenation of TIMS and PASEF technologies significantly improved the coverages of MS/MS spectra. These technological advantages jointly improved the coverage and accuracy of lipid identification in untargeted lipidomics. We further demonstrated that the CCS values of lipids acquired using TIMS were highly consistent with those from drift tube ion mobility spectrometry (DTIMS). Lipid identification and quantification results of NIST human plasma samples were also verified with inter-laboratory reports. Finally, we applied the TIMS-MS based untargeted lipidomics to characterize the spatial distributions of 1393 distinctive lipids in the mouse brain, and demonstrated that diverse lipid distributions and compositions among brain regions contributed to different functions of brain regions. Altogether, TIMS-MS based four-dimensional untargeted lipidomics significantly improved the coverage and accuracy of untargeted metabolomics, thereby facilitating a system-level understanding of lipid metabolism in biological organisms.	Trapped ion mobility spectrometry-mass spectrometry improves the coverage and accuracy of four-dimensional untargeted lipidomics	https://doi.org/10.1016/j.aca.2022.339886	Analytica Chimica Acta	Chen, X., Yin, Y., Luo, M., Zhou, Z., Cai, Y., & Zhu, Z. J. (2022). Trapped ion mobility spectrometry-mass spectrometry improves the coverage and accuracy of four-dimensional untargeted lipidomics. Analytica chimica acta, 1210, 339886.	Chen, X., Yin, Y., Luo, M., Zhou, Z., Cai, Y., Zhu, Z.J.,	NA	China	http://lipid4danalyzer.zhulab.cn/	Webserver	2022	 Shanghai Institute of Organic Chemistry Chinese Academy of Sciences
ukbnmr	NMR			Metabolic biomarker data quantified by nuclear magnetic resonance (NMR) spectroscopy in approximately 121,000 UK Biobank participants has recently been released as a community resource, comprising absolute concentrations and ratios of 249 circulating metabolites, lipids, and lipoprotein sub-fractions. Here we identify and characterise additional sources of unwanted technical variation influencing individual biomarkers in the data available to download from UK Biobank. These included sample preparation time, shipping plate well, spectrometer batch effects, drift over time within spectrometer, and outlier shipping plates. We developed a procedure for removing this unwanted technical variation, and demonstrate that it increases signal for genetic and epidemiological studies of the NMR metabolic biomarker data in UK Biobank. We subsequently developed an R package, ukbnmr, which we make available to the wider research community to enhance the utility of the UK Biobank NMR metabolic biomarker data and to facilitate rapid analysis.	Quality control and removal of technical variation of NMR metabolic biomarker data in ~120,000 UK Biobank participants	https://www.nature.com/articles/s41597-023-01949-y	Scientific Data	Ritchie, S. C., Surendran, P., Karthikeyan, S., Lambert, S. A., Bolton, T., Pennells, L., ... & Inouye, M. (2023). Quality control and removal of technical variation of NMR metabolic biomarker data in~ 120,000 UK Biobank participants. Scientific data, 10(1), 64.	S. C. Ritchie, P. Surendran, S. Karthikeyan, S. A. Lambert, T. Bolton, L. Pennells, ..., M. Inouye	M Inouye	United Kingdom	https://github.com/sritchie73/ukbnmr/	R	2023	Baker Heart and Diabetes Institute
